Curricular units 1st sem (credited),Debtor,Curricular units 1st sem (grade),Curricular units 2nd sem (without evaluations),Target,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Mother's occupation,Previous qualification,International,Marital status,Father's occupation,Curricular units 1st sem (without evaluations),Age at enrollment,Curricular units 2nd sem (enrolled),Nacionality,Daytime/evening attendance,Tuition fees up to date,Application mode,Curricular units 2nd sem (approved),Mother's qualification,Father's qualification,Curricular units 2nd sem (credited),Curricular units 2nd sem (evaluations),Curricular units 1st sem (evaluations),Curricular units 2nd sem (grade)
0,0,0.0,0,Dropout,5,0,1,8,0,1,1,0,43,5,1,1,1,12,0,19,27,0,0,0,0.0
0,0,10.0,2,Dropout,5,1,7,1,0,1,7,0,55,5,1,1,1,14,2,22,27,0,8,10,12.0
0,0,11.0,0,Graduate,5,5,10,1,0,4,4,0,39,5,1,0,1,12,5,13,14,0,5,8,11.6
2,1,11.666666666666666,0,Dropout,6,3,4,14,1,1,7,0,20,6,3,1,0,15,3,4,4,1,11,13,12.0
0,1,12.75,0,Dropout,6,4,3,1,0,1,3,0,18,5,1,1,1,1,0,3,3,0,5,6,0.0
0,0,14.8,0,Graduate,5,5,3,1,0,1,8,0,22,5,1,1,1,1,5,3,14,0,5,5,15.8
0,0,13.928,0,Graduate,7,5,3,1,0,1,3,0,22,8,1,1,1,1,7,1,3,0,9,9,14.342857142857142
0,0,13.0,0,Dropout,6,4,6,1,0,1,6,0,20,6,1,1,0,8,5,1,28,0,7,7,13.8
0,0,0.0,0,Dropout,5,0,10,1,0,1,10,0,29,5,1,0,1,12,0,22,27,0,0,0,0.0
0,0,11.5,1,Enrolled,5,2,5,1,0,1,6,0,24,5,1,0,1,8,3,23,28,0,11,9,14.333333333333334
0,0,11.666666666666666,0,Graduate,6,6,10,1,0,1,10,0,18,6,1,1,1,8,5,13,14,0,8,6,13.2
0,0,13.516666666666666,0,Graduate,7,6,8,1,0,1,8,0,22,8,1,1,1,8,7,22,14,0,9,8,13.771428571428572
3,0,11.5,0,Graduate,6,6,10,14,0,1,10,0,21,6,1,0,1,15,6,1,14,2,7,6,13.285714285714286
0,0,12.333333333333334,0,Graduate,6,5,10,1,0,1,10,0,19,6,1,1,1,1,6,22,28,0,7,7,12.833333333333334
0,0,13.666666666666666,0,Graduate,6,6,10,1,0,1,8,0,24,6,1,1,1,12,6,13,28,0,6,6,14.166666666666666
0,0,11.833333333333334,0,Enrolled,8,6,7,1,0,1,7,0,19,8,1,1,1,1,6,22,28,0,10,10,11.833333333333334
0,0,14.0,0,Enrolled,6,4,8,1,0,1,8,0,20,6,1,1,1,1,3,1,14,0,12,11,11.0
0,0,14.714285714285714,0,Graduate,5,5,12,1,0,1,12,0,19,5,1,1,1,1,5,22,27,0,5,7,15.8
0,0,10.6,0,Dropout,5,5,10,1,0,1,10,0,27,5,1,0,1,12,5,23,28,0,10,12,11.0
0,0,13.044444444444444,0,Graduate,7,7,6,1,0,1,6,0,18,8,1,1,1,1,8,1,14,0,10,9,13.595
0,0,0.0,0,Dropout,6,0,5,3,0,2,4,0,39,6,1,1,1,4,0,1,3,0,6,10,0.0
0,0,13.0,0,Dropout,6,5,3,15,0,1,3,0,27,11,1,1,1,12,10,3,3,5,13,9,12.9
0,0,14.935,0,Graduate,8,8,8,1,0,1,11,0,18,8,1,1,1,8,8,23,28,0,8,8,14.935
0,0,0.0,0,Enrolled,0,0,5,1,0,1,10,0,18,0,1,1,1,1,0,23,27,0,0,0,0.0
0,0,13.133333333333333,0,Graduate,7,6,10,1,0,1,10,0,18,8,1,1,1,1,7,13,14,0,12,8,12.221428571428572
3,0,12.0,0,Graduate,6,6,10,14,0,1,10,0,21,6,1,1,1,15,6,13,1,2,7,7,12.0
0,0,0.0,0,Enrolled,0,0,5,1,0,1,8,0,19,0,1,1,1,8,0,1,27,0,0,0,0.0
0,0,11.4,0,Enrolled,6,5,4,1,0,1,5,0,19,6,1,1,1,8,1,1,1,0,8,6,10.0
0,0,0.0,0,Enrolled,6,0,4,1,0,1,4,0,24,6,1,1,1,14,0,1,1,0,6,6,0.0
2,0,11.9,0,Dropout,7,5,6,12,0,4,6,0,29,8,1,1,1,13,5,1,1,1,10,10,11.0
0,0,0.0,0,Graduate,0,0,6,1,0,1,4,0,19,0,1,1,1,1,0,13,14,0,0,0,0.0
0,0,12.571428571428571,0,Graduate,6,6,10,14,0,1,10,0,23,6,1,1,1,15,6,13,27,0,7,8,12.428571428571429
0,1,11.2,3,Dropout,5,5,8,1,0,1,8,0,19,5,1,1,1,1,4,1,28,0,10,8,10.75
0,0,12.0,0,Enrolled,6,6,8,1,0,1,11,0,26,6,1,1,1,12,5,13,27,0,8,7,10.8
0,0,0.0,0,Enrolled,5,0,6,1,0,1,6,0,18,5,1,1,1,8,0,23,27,0,5,9,0.0
0,0,11.975,0,Graduate,7,7,9,1,0,1,5,0,24,8,1,1,1,8,8,22,14,0,8,8,13.75
0,0,0.0,0,Dropout,0,0,6,1,0,1,11,0,19,0,1,1,1,1,0,13,14,0,0,0,0.0
0,0,11.666666666666666,0,Dropout,6,3,6,1,0,1,8,0,18,6,1,1,1,8,1,23,27,0,12,12,12.0
0,0,12.333333333333334,0,Graduate,6,6,10,1,0,1,10,0,18,6,1,1,1,1,3,23,28,0,11,8,12.333333333333334
0,1,10.333333333333334,0,Dropout,5,3,5,1,0,1,8,0,18,5,1,1,1,8,3,13,14,0,11,8,10.857142857142858
0,0,10.5,0,Dropout,6,4,8,1,0,1,8,0,21,6,1,1,1,9,1,13,27,0,11,8,11.0
0,1,13.666666666666666,0,Graduate,6,6,10,1,0,1,9,0,19,6,1,1,1,8,6,1,14,0,6,6,13.333333333333334
0,0,14.842857142857142,0,Graduate,7,7,10,1,0,1,10,0,22,8,1,1,1,8,8,23,27,0,9,7,15.055555555555555
0,0,12.0,0,Graduate,6,6,10,1,0,2,7,0,33,6,1,0,1,12,6,22,27,0,6,8,11.666666666666666
0,0,12.2,0,Dropout,6,5,10,1,0,1,10,0,20,6,1,1,1,1,5,13,14,0,7,8,12.2
0,0,0.0,0,Dropout,1,0,3,2,0,1,3,1,35,5,1,0,1,12,0,3,3,0,0,1,0.0
6,1,12.166666666666666,0,Dropout,12,6,5,4,0,1,3,0,24,12,1,1,1,12,10,3,3,7,14,17,13.3
0,0,12.0,0,Enrolled,5,5,5,1,0,1,5,0,18,5,1,1,1,8,3,13,14,0,8,6,11.333333333333334
0,0,11.0,0,Graduate,6,6,10,1,0,2,7,0,33,6,1,0,1,12,5,22,27,0,11,7,11.0
0,0,13.08,0,Graduate,8,7,10,1,0,1,8,0,22,8,1,1,1,13,7,22,28,0,8,8,13.08
0,0,10.5,0,Graduate,5,4,5,1,0,1,6,0,25,5,1,1,1,12,5,1,14,0,7,7,11.6
0,0,10.666666666666666,0,Graduate,6,6,5,1,0,1,1,1,20,6,1,1,1,8,5,13,28,0,6,9,11.2
0,0,14.0,0,Enrolled,5,4,10,1,0,1,10,0,23,5,1,1,1,1,5,23,27,0,5,6,13.8
0,1,10.0,0,Enrolled,5,2,10,1,0,1,7,0,18,5,1,1,1,14,0,23,14,0,9,9,0.0
0,0,0.0,0,Dropout,7,0,5,1,0,1,11,0,24,7,1,1,1,12,0,1,1,0,7,18,0.0
0,0,14.0,0,Graduate,6,6,10,1,1,1,10,0,21,6,14,1,0,8,6,13,1,0,6,6,13.5
0,0,12.0,0,Dropout,6,2,5,1,1,1,5,1,26,6,14,1,1,6,0,1,1,0,6,7,0.0
0,0,12.666666666666666,1,Dropout,6,3,1,8,0,2,1,0,39,6,1,1,1,12,0,22,24,0,14,12,0.0
2,0,11.875,0,Graduate,8,8,10,1,0,2,10,0,44,6,1,0,1,12,6,22,14,0,7,11,12.333333333333334
0,0,14.0,0,Enrolled,5,5,10,1,1,1,3,0,19,5,12,1,1,6,3,23,3,0,11,9,13.25
0,0,13.666666666666666,0,Graduate,6,6,6,1,0,1,6,0,18,6,1,1,1,1,6,22,1,0,6,6,13.333333333333334
0,0,13.75,0,Graduate,7,7,8,1,0,1,8,0,18,8,1,1,1,1,8,22,27,0,9,7,14.47777777777778
0,0,14.2,0,Enrolled,5,5,10,1,0,1,2,2,19,5,1,1,1,1,5,1,2,0,7,7,13.8
0,1,11.96,0,Dropout,7,4,3,1,0,1,3,0,19,7,1,1,0,1,0,3,3,0,7,10,0.0
7,0,12.875,0,Dropout,10,8,10,16,0,1,10,0,21,9,1,1,1,17,5,23,28,4,14,12,13.4
0,0,0.0,0,Graduate,0,0,10,1,0,1,11,0,20,0,1,1,1,1,0,1,1,0,0,0,0.0
0,0,0.0,0,Dropout,6,0,7,1,0,2,6,0,36,6,1,0,1,12,0,22,27,0,0,0,0.0
13,0,14.63157894736842,1,Graduate,18,18,10,9,0,4,7,0,43,13,1,1,1,12,13,22,27,10,14,19,14.23076923076923
0,0,0.0,0,Dropout,6,0,10,1,0,1,8,0,19,6,1,1,1,9,0,13,14,0,0,0,0.0
4,1,13.0,0,Graduate,10,10,3,1,0,1,9,0,20,11,1,1,1,16,11,3,1,5,11,12,12.272727272727272
0,0,0.0,0,Dropout,6,0,5,1,0,1,8,0,19,6,1,1,1,1,0,22,28,0,0,0,0.0
0,0,14.2,0,Dropout,6,4,5,1,0,1,5,0,20,6,1,1,1,1,4,1,1,0,17,15,13.25
2,0,13.266666666666666,0,Dropout,7,6,5,1,0,1,4,0,20,7,1,1,1,1,5,3,4,0,10,9,12.3
0,0,11.666666666666666,0,Enrolled,7,6,10,1,0,1,4,0,20,7,1,1,1,8,3,13,1,0,10,12,13.0
0,0,13.857142857142858,0,Graduate,6,6,7,1,0,1,8,0,18,6,1,1,1,1,6,22,27,0,6,8,15.0
0,0,13.0,0,Enrolled,5,3,5,1,0,1,8,0,18,5,1,1,1,8,3,1,28,0,11,9,11.0
0,0,13.4,0,Graduate,5,5,10,1,0,1,10,0,19,5,1,1,1,1,5,13,14,0,5,6,12.8
0,0,12.666666666666666,0,Graduate,6,6,5,1,0,1,8,0,18,6,1,1,1,1,6,1,28,0,7,6,12.571428571428571
0,0,12.516666666666666,1,Dropout,7,6,10,1,0,1,10,1,18,7,1,1,1,8,6,22,27,0,7,7,12.516666666666666
0,0,11.616666666666667,0,Enrolled,7,6,10,1,0,1,6,0,20,7,1,1,1,14,7,23,28,0,7,11,13.0
0,0,10.0,0,Enrolled,6,2,10,1,0,1,8,0,20,6,1,1,1,8,4,13,27,0,12,13,10.75
0,0,10.333333333333334,0,Enrolled,5,3,4,1,0,1,4,0,20,5,1,1,1,8,3,13,14,0,10,11,10.666666666666666
0,0,13.142857142857142,0,Graduate,5,5,10,1,0,1,8,2,18,5,1,1,1,1,5,22,28,0,6,12,11.4
0,0,12.6,0,Graduate,5,5,5,1,0,1,6,0,18,5,1,1,1,1,5,2,14,0,5,5,14.0
0,0,11.0,0,Dropout,6,3,5,1,0,1,6,0,21,6,1,1,1,8,2,1,1,0,12,12,11.0
0,0,10.8,2,Graduate,5,5,10,1,0,1,8,0,19,5,1,1,1,1,4,13,14,0,9,8,11.25
0,0,0.0,0,Dropout,0,0,3,1,0,1,10,0,19,0,1,1,1,1,0,3,14,0,0,0,0.0
0,0,12.8,0,Graduate,5,5,10,1,0,1,10,0,19,5,1,1,1,1,5,23,28,0,5,5,14.2
0,0,14.166666666666666,0,Graduate,6,6,5,1,0,1,8,0,19,6,1,1,1,1,6,13,28,0,13,15,12.2
0,0,12.1,0,Dropout,7,5,5,1,0,1,6,0,19,7,1,1,1,8,0,1,1,0,0,12,0.0
1,0,14.166666666666666,0,Graduate,6,6,10,14,0,1,10,0,20,6,1,1,1,15,5,22,27,1,17,7,13.77777777777778
0,0,12.8,0,Enrolled,6,5,10,1,0,1,4,0,18,6,1,1,1,1,5,13,28,0,7,8,13.4
0,0,13.0,0,Graduate,6,6,6,1,0,1,4,0,18,6,1,1,1,8,6,1,29,0,6,7,13.666666666666666
0,0,13.467142857142855,0,Graduate,7,7,9,1,0,1,10,0,19,8,1,1,1,8,8,1,27,0,9,7,15.011111111111113
0,0,13.2375,0,Dropout,7,7,6,1,0,1,9,0,18,8,1,1,1,1,7,13,14,0,9,9,13.742857142857144
0,0,12.333333333333334,0,Graduate,6,6,10,1,0,1,10,0,18,6,1,1,1,8,6,22,27,0,6,6,13.0
0,0,12.4,0,Graduate,5,5,5,1,0,1,9,0,19,5,1,1,1,1,5,1,14,0,5,7,14.6
0,0,14.0,0,Dropout,7,5,4,1,0,1,4,0,19,7,1,1,1,8,0,1,14,0,7,8,0.0
5,0,11.666666666666666,0,Graduate,9,9,10,1,0,1,8,0,20,7,1,1,1,14,7,23,27,2,8,15,11.714285714285714
0,1,12.0,0,Dropout,6,5,4,1,0,1,10,0,19,6,1,1,0,1,4,1,28,0,9,7,12.5
0,0,12.2,0,Graduate,5,4,6,1,0,1,6,0,20,5,1,1,1,8,4,13,14,0,5,7,11.5
0,1,14.833333333333334,0,Graduate,6,6,20,1,0,1,39,0,18,6,1,1,1,1,6,1,1,0,6,6,14.833333333333334
0,0,13.188,0,Enrolled,7,5,5,1,0,1,8,0,20,8,1,1,1,1,7,13,1,0,9,9,12.892857142857142
0,0,17.125,0,Graduate,7,7,5,1,0,1,9,0,18,8,1,1,1,9,8,13,1,0,8,8,17.5875
0,0,12.666666666666666,0,Graduate,7,6,10,1,0,1,10,0,19,7,1,1,1,1,6,22,27,0,7,7,12.666666666666666
0,0,12.666666666666666,0,Graduate,6,6,5,1,0,1,5,0,19,6,1,1,1,1,5,13,1,0,10,8,12.0
0,1,0.0,0,Enrolled,5,0,4,1,0,1,4,0,22,5,1,1,0,16,0,3,1,0,7,8,0.0
0,0,11.333333333333334,0,Graduate,6,6,10,1,0,1,11,0,19,6,1,1,1,1,6,1,10,0,6,7,11.5
0,0,13.605,0,Graduate,7,7,10,1,0,1,8,0,19,8,1,1,1,1,8,13,14,0,11,10,12.33125
0,0,12.0,0,Graduate,6,5,6,1,0,1,7,0,19,6,1,1,1,8,5,22,28,0,9,10,10.8
0,0,0.0,0,Dropout,5,0,10,1,0,1,10,0,19,5,1,1,1,1,0,10,14,0,10,10,0.0
0,0,11.2,0,Dropout,6,5,10,1,0,1,11,0,20,6,1,1,1,8,3,1,27,0,12,8,11.666666666666666
0,0,13.375,0,Graduate,5,5,3,1,0,1,11,0,18,5,1,1,1,1,5,3,14,0,9,10,14.166666666666666
0,0,13.863333333333337,0,Graduate,7,6,10,1,0,1,10,0,20,8,1,1,1,1,7,1,14,0,9,8,14.178571428571429
0,0,0.0,0,Enrolled,0,0,3,1,0,1,9,0,18,0,1,1,1,1,0,3,27,0,0,0,0.0
0,0,12.4,0,Graduate,5,5,5,1,0,1,8,0,19,5,1,1,1,1,5,1,28,0,6,6,13.4
0,0,12.333333333333334,0,Enrolled,6,3,8,1,0,1,7,0,18,6,1,1,1,8,5,23,28,0,10,11,10.833333333333334
0,0,13.333333333333334,0,Graduate,6,6,10,1,0,1,10,0,18,6,1,1,1,1,5,22,27,0,8,7,11.8
0,0,12.666666666666666,0,Dropout,6,3,3,1,0,1,6,0,21,6,1,1,1,14,3,3,27,0,12,10,10.0
0,0,12.0,0,Dropout,6,6,7,1,0,1,7,0,19,6,1,1,1,1,4,23,27,0,10,8,11.5
0,0,10.6,0,Graduate,5,5,10,1,0,1,10,0,18,5,1,1,1,1,5,23,28,0,5,5,11.8
0,0,12.25,0,Graduate,6,6,8,1,0,1,10,0,18,6,1,1,1,8,6,1,27,0,7,8,11.857142857142858
0,0,11.0,0,Graduate,6,4,10,1,0,1,11,0,20,6,1,1,1,1,6,13,1,0,9,10,11.833333333333334
0,0,11.0,0,Graduate,6,5,7,1,0,1,9,0,24,6,1,0,1,12,5,1,14,0,9,11,12.6
0,0,13.166666666666666,0,Dropout,6,6,5,1,0,1,2,0,19,6,1,1,1,1,6,13,1,0,9,6,13.0
0,0,12.855555555555554,0,Graduate,7,7,10,1,0,1,8,0,18,8,1,1,1,1,7,13,27,0,12,9,12.761111111111113
0,0,14.91875,0,Graduate,7,7,10,1,0,1,10,0,18,8,1,1,1,1,8,13,14,0,8,8,15.355
0,0,11.5,0,Dropout,6,4,5,1,0,1,5,0,21,6,1,1,1,8,3,10,10,0,10,13,11.0
0,0,14.2,0,Graduate,5,5,6,1,0,1,5,0,19,5,1,1,1,8,5,1,14,0,5,5,14.2
0,0,12.5,0,Graduate,6,6,8,1,0,1,8,0,19,6,1,1,1,8,6,13,27,0,7,6,13.0
0,1,0.0,0,Enrolled,1,0,7,1,0,3,7,0,47,6,1,1,1,12,0,1,27,0,0,1,0.0
0,0,11.666666666666666,0,Graduate,6,5,8,1,0,1,9,0,19,6,1,1,1,8,4,13,14,0,12,10,11.0
1,0,14.257142857142856,0,Graduate,8,7,2,3,0,1,2,0,29,8,1,1,1,12,7,2,2,1,8,8,14.257142857142856
0,0,12.0,0,Dropout,6,3,5,1,0,1,9,0,21,6,1,1,1,14,2,13,14,0,12,13,11.333333333333334
0,0,11.25,0,Enrolled,5,4,10,1,0,1,8,1,28,5,1,1,1,12,4,22,14,0,11,13,10.5
0,0,12.457142857142856,0,Graduate,7,7,4,1,0,1,11,0,20,8,1,1,1,8,8,22,27,0,8,8,13.5625
0,0,11.683333333333332,0,Graduate,7,6,5,1,0,1,6,0,19,7,1,1,1,8,6,2,28,0,7,7,11.683333333333332
0,0,11.666666666666666,0,Graduate,6,3,5,1,0,1,7,0,26,6,1,0,1,13,5,13,2,0,8,10,12.0
0,1,11.75,0,Dropout,6,4,10,1,0,1,9,0,20,6,1,1,0,8,6,22,27,0,6,8,13.166666666666666
0,0,11.666666666666666,0,Enrolled,5,3,10,1,0,1,10,0,18,5,1,1,1,1,4,22,27,0,6,6,13.5
0,0,13.2,0,Graduate,6,5,10,1,0,1,6,0,27,6,1,1,1,12,5,22,14,0,10,9,12.0
0,0,11.95,0,Dropout,7,4,12,1,0,1,12,0,20,7,1,1,1,1,4,19,24,0,8,8,11.95
0,0,12.4,0,Dropout,6,5,10,1,0,1,6,0,18,6,1,1,1,1,5,22,14,0,12,8,10.4
2,0,14.35,0,Dropout,7,6,10,3,0,1,6,0,33,8,1,1,1,4,6,1,1,3,10,8,14.583333333333334
19,0,12.61904761904762,0,Graduate,21,21,4,1,0,1,4,0,35,19,1,1,1,14,19,3,1,13,19,21,12.789473684210526
2,0,12.666666666666666,1,Enrolled,6,6,10,14,0,1,9,0,26,6,1,0,1,15,6,22,14,2,7,7,13.166666666666666
0,1,12.0,0,Dropout,6,5,4,12,0,1,5,0,27,6,1,1,0,12,0,13,14,0,6,6,0.0
0,0,12.166666666666666,0,Dropout,6,6,6,1,0,1,6,0,19,6,1,1,0,9,0,1,27,0,6,6,0.0
0,0,0.0,0,Dropout,6,0,5,1,0,1,7,0,20,6,1,1,1,8,0,1,14,0,0,0,0.0
0,1,10.0,0,Dropout,5,3,6,1,0,1,8,0,20,5,1,1,0,9,3,3,3,0,9,9,10.571428571428571
5,1,11.5,0,Enrolled,10,8,6,1,0,1,10,0,21,6,1,1,0,14,4,1,27,0,12,18,10.0
0,0,13.05,0,Graduate,7,6,10,1,0,1,5,0,18,7,1,1,1,8,6,23,1,0,7,7,13.05
0,0,11.0,0,Dropout,6,2,10,1,0,1,10,0,24,6,1,1,1,12,0,1,14,0,6,10,0.0
0,0,11.5,0,Graduate,6,6,5,1,0,1,2,0,20,6,1,1,1,8,6,1,3,0,6,7,12.0
0,0,12.0,0,Graduate,6,6,10,1,0,1,9,0,21,6,1,1,1,1,6,13,28,0,6,7,12.5
0,0,10.0,0,Enrolled,6,2,8,1,0,1,4,0,23,5,1,0,1,1,1,1,27,0,12,13,10.0
0,0,0.0,0,Dropout,5,0,5,1,0,1,4,0,24,5,1,1,1,12,0,10,3,0,5,5,0.0
0,0,0.0,0,Dropout,6,0,5,1,0,1,11,0,21,6,1,1,1,16,0,1,1,0,0,0,0.0
0,0,12.242857142857144,0,Graduate,8,7,10,1,0,1,9,0,18,8,1,1,1,1,7,23,28,0,8,8,12.242857142857144
0,0,0.0,0,Dropout,5,0,4,15,0,1,5,0,27,5,1,0,1,12,0,13,1,0,0,0,0.0
0,0,12.93375,0,Graduate,8,8,6,1,0,1,6,0,18,8,1,1,1,9,8,22,27,0,8,8,12.93375
0,0,0.0,0,Dropout,5,0,3,3,0,1,3,0,35,5,1,1,1,4,0,3,2,0,0,0,0.0
0,0,12.571428571428571,0,Graduate,7,7,4,1,0,1,9,0,18,7,1,1,1,1,7,13,14,0,8,9,14.428571428571429
0,0,11.816666666666668,0,Enrolled,3,3,28,1,0,1,19,0,35,3,1,1,1,12,3,1,3,0,3,4,11.333333333333334
0,0,13.75,2,Graduate,5,4,5,1,0,1,8,0,19,5,1,1,1,1,4,1,1,0,13,9,14.333333333333334
0,0,11.166666666666666,0,Graduate,6,6,5,1,0,1,1,0,20,6,1,1,1,1,6,13,14,0,6,8,11.333333333333334
0,0,12.324285714285711,0,Graduate,8,7,8,1,0,1,8,0,18,8,1,1,1,1,7,13,14,0,8,8,12.324285714285711
3,1,12.166666666666666,0,Graduate,6,6,6,14,0,1,11,0,21,6,1,1,1,15,6,23,28,2,7,6,11.714285714285714
0,0,11.142857142857142,0,Graduate,6,5,10,1,0,1,9,0,18,6,1,1,1,8,4,13,27,0,11,11,11.25
0,0,11.0,0,Graduate,6,4,1,1,0,1,1,0,18,6,1,1,1,1,4,19,24,0,9,9,10.75
0,0,12.914285714285713,0,Graduate,8,7,10,1,0,1,10,0,18,8,1,1,1,1,7,13,28,0,8,8,12.914285714285713
0,0,13.833333333333334,0,Graduate,6,6,2,1,0,1,5,0,18,6,1,1,1,1,6,3,14,0,6,6,14.166666666666666
0,0,13.857142857142858,0,Graduate,6,6,9,1,0,1,8,0,19,6,1,1,1,1,5,13,1,0,9,8,13.4
0,0,13.714285714285714,0,Dropout,6,6,3,12,0,1,4,0,36,6,1,1,1,12,5,3,14,0,6,7,12.8
0,0,12.642857142857142,0,Graduate,8,7,8,1,0,1,5,0,18,8,1,1,1,1,7,23,1,0,8,8,12.642857142857142
0,0,12.916666666666666,0,Graduate,7,6,10,1,0,1,10,0,18,7,1,1,1,1,6,22,27,0,7,7,12.916666666666666
0,0,15.625,0,Graduate,6,6,10,1,0,1,3,0,20,6,1,1,1,14,6,1,3,0,8,8,15.857142857142858
0,0,0.0,0,Dropout,5,0,10,1,0,1,10,0,26,5,1,0,1,12,0,22,27,0,8,7,0.0
0,0,11.714285714285714,0,Graduate,6,6,5,1,0,1,6,0,21,6,1,1,1,14,6,1,1,0,7,8,12.0
0,0,12.125,0,Enrolled,7,6,5,15,0,1,6,0,25,8,1,1,1,12,8,1,1,0,9,10,13.3125
